Название,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Саратовская область,"773,85","936,82","1024,48","1058,62","1163,38","1260,89","1382,86","1710,54","1881,7","1816,18","2280,68","1997,79","2150,81","2372,32","3003,48","2997,78","3085,19","3129,8","3384,71","3342,5","3866,73","4737,06","4860,52"
Ульяновская область,"698,74","807,72","939,81","1020,95","1111,43","1245,58","1287,96","1614,07","1811,35","1851,49","2569,52","2157,63","2303,52","2578,77","3199,2","3184,77","3405,48","3527,89","3687,56","3692,13","4145,99","4897,6","5062,75"
Уральский федеральный округ,"849,58","969,22","1081,71","1154,25","1302,75","1452,48","1580,69","1968,61","2320,79","2280,36","2991,24","2605,54","2930,18","3116,13","3783,15","3819,7","3977,27","4051,37","4224,73","4262,9","4696,92","5585,11","5846,01"
Курганская область,"742,88","842,15","956,98","990,43","1151,23","1249,91","1336,55","1689,43","1999,48","1949,56","2642,16","2236,99","2543,64","2702,96","3398,86","3509,7","3647,81","3653,3","3811,6","3929,49","4261,03","5143,64","5177,12"
Свердловская область,"820,62","945,63","1037,36","1117,9","1260,75","1428,12","1541,34","1976,33","2326,28","2256,95","3042,35","2540,3","2874,35","3079,04","3744,58","3853,56","4000,67","4076,2","4300,14","4270,34","4696,12","5482,43","5656,65"
Тюменская область,"990,1","1132,49","1248,81","1352,77","1510,41","1697,25","1829,28","2118,76","2627,84","2613,2","3259,68","3005,48","3294,01","3511,45","4145,17","4339,71","4448,05","4560,36","4716,26","4801,17","5194,6","6120,72","6409,16"
Ханты-Мансийский автономный округ,"1088,82","1219,32","1263,39","1379,78","1580,71","1746,35","1901,34","2254,64","2605,47","2740,79","3336,8","3088,4","3328,56","3496,22","4114,69","4349,45","4467,14","4587,16","4797,07","4917,23","5391,62","6314,37","6487,58"
Ямало-Ненецкий автономный округ (Тюменская область),"1235,01","1390,77","1554,11","1558,49","1740,37","1987,32","2176,86","2514,94","2803,41","3186,76","3627,36","3765,39","3954,08","4430,87","5162,91","5340,21","5519,93","5523,29","5558,33","5482,88","5734,49","6641,56","7387,19"
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),,,,,,,,,,,,,,"3170,05","3782,35","3950,54","4033,34",4181,"4320,84","4424,4","4891,84","5695,6","5937,15"
Челябинская область,"812,15","922,48","1023,36","1069,77","1206,95","1314,86","1464,72","1896,01","2107,96","2081,97","2804,21","2389,81","2732,65",2913,"3578,84","3560,15","3583,32","3632,21","3800,93","3860,69","4394,01","5385,85","5692,86"
Сибирский федеральный округ,"810,74","902,98","1015,39","1129,23","1235,98","1404,34","1537,31","1887,61","2157,71",2174,"2674,17","2444,59","2754,5","2943,81","3547,37","3620,17","3689,97","3776,15",,,,,
Сибирский федеральный округ,,,,,,,,,,,,,,,,,,,"3981,49","4112,45","4515,54","5487,36","5615,24"
Республика Алтай,"839,37","893,86","1035,35","1143,57","1239,72","1413,72","1509,45","1886,61","2172,04","2130,92","2687,3","2564,2","2986,49","3125,33","3946,13","3983,6","4049,55","3988,49","4057,65","4157,42","4619,08","5688,07","5944,85"
Республика Тыва,"890,32","976,83","1143,93","1210,49","1310,7","1452,4","1613,91","1971,58","2228,47","2436,8","2925,28","2719,01","3126,04","3290,9","3812,9","3849,23","3811,42","3834,26","4064,3","4184,5","4600,74","5687,46","5863,38"
Республика Хакасия,"876,94","931,15","1080,99","1212,46","1361,31","1458,56","1602,04","1936,84","2241,92","2326,08","2779,78","2498,72","2866,42","3064,22","3563,77","3676,54","3774,88","3907,73","4179,51","4462,89","4939,15","6082,91","6178,22"
Алтайский край,"732,88","796,29","887,95","992,24","1078,77","1264,46","1351,61","1723,23","2009,31","2007,49","2607,44","2278,41","2578,67","2742,08","3341,72","3349,75","3386,12","3391,76","3641,63","3756,3","4203,22","5199,21","5374,34"
Красноярский край,"910,17","1057,74","1136,32","1258,94","1401,46","1513,74","1662,34","2038,6","2295,15","2348,34","2897,94","2730,04","3057,97","3230,64","3900,95","4067,75","4186,66","4266,87","4538,47","4678,9","5109,19","6129,69","6309,47"
Таймырский (Долгано-Ненецкий) автономный округ (Красноярский край),"1438,6","1873,8","1873,78","1935,85","2410,67","2437,46",,,,,,,,,,,,,,,,,
Эвенкийский автономный округ (Красноярский край),"1135,67","1774,45","1925,95","2041,24","2268,79","2439,88",,,,,,,,,,,,,,,,,
Иркутская область,"917,63","1001,36","1058,58","1238,83","1306,15","1522,83","1708,87","2026,35","2337,19","2343,4","2813,57","2741,37","3008,45","3222,44","3790,51","3843,76","3842,24","3957,2","4297,52","4505,77","4821,41","5779,36","5902,28"
Усть-Ордынский Бурятский округ,"873,29","921,91","979,23","1183,74","1206,83","1405,14","1567,24",,,,,,,,,,,,,,,,
Кемеровская область - Кузбасс,"773,14","868,33","979,16","1046,07","1156,84","1333,1","1449,62","1753,38","1993,01","1944,17","2515,39","2245,04","2627,63","2769,01","3301,18","3396,49","3505,23","3580,67","3821,05","3953,57","4344,58","5266,84","5378,09"
Новосибирская область,"791,23","895,32","1036,36","1093,55","1227,51","1409,61","1555,94","1955,39","2286,28","2323,26","2939,99","2623,76","2963,78","3165,95","3808,91","3879,68","3998,67","4077,23","4195,02","4218,96","4574,28","5475,94","5596,82"
Омская область,"733,33","789,41","900,15","980,41","1086,99","1222,98","1324,82",1684,"1882,36","1866,34","2428,47","1996,07","2297,74","2477,16","3023,34","3056,09","3187,52","3272,19","3491,46","3573,22","3973,67","4955,96","4803,6"
Томская область,"761,39","861,55","988,48","1116,04","1223,07","1422,69","1520,46","1875,66","2175,14","2141,43","2685,77","2449,18","2821,23","2947,07","3567,35","3683,31","3652,79","3746,3",3881,"4051,71","4373,52","5337,75","5431,88"
Дальневосточный федеральный округ,"1050,83","1173,39","1271,3","1478,59","1735,21","1958,28","2137,62","2534,21","3001,32","3165,89","3588,42","3647,21","3898,23","4345,86","4925,96","5245,06","5247,18","5229,14",,,,,
Дальневосточный федеральный округ,,,,,,,,,,,,,,,,,,,"5206,21","5478,48","5924,3","6950,98",7346
Республика Бурятия,"844,13","929,6","1037,15","1250,48","1324,05","1509,64","1628,49","1928,22","2141,07","2142,35","2607,07","2567,4","2815,67","3064,21","3650,87","3699,74","3728,66","3805,85","4248,61","4455,17","4912,85","5888,86","5933,02"
Забайкальский край,"891,37","1020,78","1066,41","1237,25","1339,64","1519,38","1696,43","2021,01","2260,91","2429,38","2782,66","2835,12","3004,27","3258,42","3884,02","4195,96","4233,86","4364,86","4634,32","4922,55","5361,72","6649,8","7038,76"
Агинский Бурятский округ (Забайкальский край),"814,11","889,2","946,31","1112,85","1264,45","1413,07","1531,18","1991,82",,,,,,,,,,,,,,,
Республика Саха (Якутия),"1156,45","1343,98","1424,9","1630,16","1824,73","2056,52","2477,07","2857,68","3372,34","3374,14","3687,8","3839,06","4020,35","4656,53","5499,36","6102,5","6208,15","6284,23","6577,98","6796,26","7076,53","7993,74","8690,51"
Камчатский край,"1183,95","1590,25","1651,95","1866,32","2140,3","2474,95","2780,56","3224,53","3504,48","3745,98","4366,51","4296,72","4540,34","4868,66","5306,6","5886,93","6365,48","6180,63","6568,7","7007,52","7301,65","8299,54","9196,13"
"Корякский округ, входящий в состав Камчатского края","2303,91","2756,34","2946,33","3268,09","3526,32","3931,86","4600,78",,,,,,,,,,,,,,,,
Приморский край,"993,96","1114,97","1227,17","1389,23","1648,71","1889,45","2020,07","2411,02","2924,65","3113,93","3487,99","3536,68","3783,27","4171,58","4834,17","5124,62","5047,07","4973,78","5232,81","5565,55","6069,14","7070,85","7410,13"
Хабаровский край,"953,5","1096,2","1171,06","1424,4","1638,99","1913,92","1988,95","2397,19","2768,37","3049,52","3473,69","3479,56","3713,63","4320,52","4939,11","5105,33","5084,28","5081,95","5377,08","5656,77","6228,31","7241,32","7419,11"
Амурская область,"813,97","939,68","1027,74","1262,58","1390,17","1632,56","1730,99","2101,14","2424,11","2607,75","3026,35","3125,15","3279,99","3705,31","4149,34","4336,67","4321,54","4226,48","4515,87","4766,62","5391,38","6342,3","6349,44"
Магаданская область,"1342,58","1507,58","1587,89","1821,8","2012,71","2347,3","2428,52","2874,4","3574,76","3938,53","4374,09","4481,57","5061,71","5488,34","6137,04","6524,96","6725,87","6744,07","7301,87","7584,51","8008,52","9402,04","9877,37"
