Название,Продукт,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Томская область,"Пряники, кг",,,"26,2","29,19","31,7","33,39","37,71","44,66","58,6","63,01","69,11","76,92","82,97","89,47","101,25","117,78","131,66","134,05","134,33","141,58","154,35","176,81","212,16"
Томская область,"Зефир, пастила, кг",,,"63,07","65,93","70,29","78,55","85,99","89,51","100,18","111,38","122,51","129,39",133,"134,92","181,94","207,19","244,63","239,63","250,77","256,16","272,4","314,69","373,16"
Томская область,"Какао, кг",,,,,,,,,,,,,,,,,,"565,44","611,01","636,88","656,46","659,98","980,51"
Томская область,"Карамель, кг",,,"44,79","48,51","50,84","51,77","56,28","61,56","75,72","83,51","91,68","101,22","104,68","110,91","137,6","164,13","164,82","161,07","158,66","161,67","176,87","196,06","244,51"
Томская область,"Конфеты мягкие, глазированные шоколадом, кг",,,"67,7","74,28","79,03","81,93","87,66","94,23","114,1","122,13","125,53","132,32","137,58","152,61","185,11","224,78","238,61","221,3","231,47","243,4","241,44","299,3","360,43"
Томская область,"Шоколад, кг",,,"152,91","173,77","192,36","209,67","220,64","245,28","293,89","352,08","395,04","425,21","441,55","419,24","493,33","736,87","801,59","815,75","882,05","950,52","802,13","1042,63","1043,32"
Томская область,"Кексы, рулеты, кг",,,,"71,36","79,72","85,11","92,95","109,88","132,73","145,63","159,09","172,08","183,19","173,16","189,67","231,8","230,94","226,99","233,07","230,03","236,75","287,11","345,3"
Томская область,"Торты, кг",,,,"173,6","184,82","203,1","217,51","229,61","266,83","280,24","319,04","327,71","354,39","363,29","404,82","436,12","441,6","468,64","467,4","481,51","537,3","621,82","702,64"
Томская область,"Жевательная резинка, упаковка",,,,9,"8,96","9,37","9,83","10,55","12,88","15,72","15,89","17,03","17,99","18,8","19,56","21,6","26,23","26,11","25,82","27,91","30,49","29,78","37,54"
Томская область,"Конфеты шоколадные натуральные и с добавками, кг",,,,"140,45","152,12","153,02","162,46","185,99","233,19","241,43","250,42","270,54","286,25","320,7","371,55","438,37","437,78","430,88","444,28","493,9","564,81","604,49","729,45"
Томская область,"Варенье, джем, повидло, кг",,,"41,53","44,32","47,93","53,11","52,57","49,65","57,6","68,04","83,66","91,07","95,25","108,31","118,59","145,38","154,75","159,59","165,64","177,71","197,51","224,94","326,29"
Томская область,"Мёд пчелиный натуральный, кг",,,"100,7","124,85","138,02","141,73","156,33","188,14","221,1","312,3","380,86","387,48","388,64","382,63","391,52","416,4","440,64","472,88","498,72","483,65","465,42","474,16","551,99"
Томская область,"Кофе натуральный растворимый, кг",,,"493,88","535,57","544,33","602,18","632,92","664,93","776,28","946,61","1006,44","1077,76","1100,36","1141,04","1250,08","1661,22","1870,6","1807,83","1888,52","1990,46","2162,72","2202,76","2549,2"
Томская область,"Чай черный байховый, кг",,,"148,75","158,04","165,12","170,56","171,69","174,43","213,41","255,49","261,4","287,81","301,73","316,81","393,55","491,56","598,99","585,82","572,82","590,17","679,3","719,26","895,28"
Томская область,"Кофе натуральный в зернах и молотый, кг",,,,,,,"258,76","255,96","311,97","378,85","406,66","489,13","509,76","474,87","569,43","852,67","932,23","913,59","940,04","969,26","966,02","1130,62","1421,58"
Томская область,"Чай черный байховый пакетированный, 25 пакетиков",,,,,,,,,"32,92","38,62","39,2","39,89","41,22","42,49","49,36","58,66","64,53","65,27","65,47","65,81","68,26","67,43","78,5"
Томская область,"Чай зеленый, кг",,,,,,,,,,,,,,,,,,,,"790,15","962,13","899,14","1317,04"
Томская область,"Майонез, кг",,,"46,45","49,88","50,6","51,87","51,66","64,79","77,36","79,64","84,54","89,48","91,77","97,16","100,38","141,58","161,2",158,"163,36","166,93","190,3","237,23","287,34"
Томская область,"Соль поваренная пищевая, кг",,,"4,7","5,18","5,48","6,32","7,51","8,82","11,79","12,45","12,43","12,74","12,89","13,2","13,63","14,46","14,28","13,11","12,77","14,15","13,31","15,95","16,59"
Томская область,"Перец черный (горошек), кг",,,"356,39","354,82","359,72","361,46","355,11","411,69","583,97","602,08","617,15","771,56","922,99","1042,45","1212,51","1984,39","2114,66","2372,87","2139,34","1890,7","2034,48","2190,54",
Томская область,"Соль йодированная пищевая, кг",,,"4,92","5,29","5,6","6,55","7,82","9,11","12,13","12,67","12,64","13,09","12,92","12,32","12,93","13,55",,,,,,,
Томская область,"Сухие супы в пакетах, кг",,,,"18,53","20,99","22,14","24,27","29,39","32,09","37,12","38,07","42,77","44,7","38,97","44,11","54,52","57,51","56,09","55,28","62,02","65,33",,
Томская область,"Мука пшеничная, кг",,,"6,98","11,28","11,98","11,61","12,14","15,24","21,46","17,37","20,93","19,57","24,95","24,85","28,51","30,72","30,43","28,68","29,17","32,46","38,02","39,93","45,16"
Томская область,"Хлеб из ржаной муки и из смеси муки ржаной и пшеничной, кг",,,"8,59","10,96","12,7","12,95","14,93","21,26","25,13","24,82","28,87","29,02","34,7","37,69","44,26","47,12","48,02","48,17","51,52","56,19","60,58","61,44","70,24"
